192,SC,,119,English,2,,"London, UK",Hodder Childrens Books,7 x 0.5 x 11.6 inches,2014-01-01,6.69999980926514,0.5,9.10000038146973,inches
193,HC,First Edition,119,English,2,128,"New York City, USA",Levine Books ,0.5 x 9 x 12 inches,2007-10-01,8.89999961853027,0.5,11.8000001907349,inches
194,SC,,120,English,1,263,"New York City, USA",Penguin Global,9.2 x 6.6 x 0.8 inches,2007-01-09,6.19999980926514,1.0,9.19999980926514,inches
195,HC,1 edition,121,English,2,224,"New York, USA",W. W. Norton and Company,8.9 x 1 x 11.2 inches,2009-10-19,8.9,1.0,11.2,inches
196,HC,Deluxe edition,122,English,1,208,"New York, USA",Vertigo,7.4 x 0.6 x 11.2 inches,2013-01-29,7.4,0.6,11.2,inches
197,SC,,122,English,1,198,"New York City, USA",Vertigo,6.6 x 0.3 x 10.2 inches,2014-04-29,6.6,1.0,7.40000009536743,inches
198,SC,Original edition,123,English,1,67,"New York, USA",NBM Publishing,6.5 x 0.3 x 9.5 inches,1997-09-01,6.5,0.3,9.5,inches
199,HC,1 edition,124,English,1,160,"New York City, USA",Pantheon,6.6 x 0.8 x 8.7 inches,2002-09-24,6.6,0.8,8.7,inches
201,SC,1St Edition,126,English,1,510,"Marietta, Georgia, USA",Top Shelf Productions,6.5 x 1.8 x 9 inches,2009-09-01,6.5,1.8,9.0,inches
203,HC,,127,English,,295,"New York City, USA",Pantheon,6.5 x 1.2 x 9.4 inches,1996-11-19,6.5,1.2,9.4,inches
204,SC,First Edition,128,English,5,341,"New York City, USA",Pantheon,6 x 1 x 8.9 inches,2007-10-30,6.0,1.0,8.9,inches
205,SC,,129,English,1,128,"New York, USA",Marlowe and Company,10.8 x 8.4 x 0.4 inches,2003-12-01,8.39999961853027,0.400000005960464,10.8000001907349,inches
208,SC,English Language edition,131,English,1,248,"Seattle, USA",Sasquatch Books,8.5 x 0.4 x 10 inches,2000-09-26,8.5,0.4,10.0,inches
209,SC,,132,English,2,184,"Seattle, USA",Jet City Comics,7 x 0.4 x 10 inches,2013-11-05,7.0,0.4,10.0,inches
210,HC,,133,English,1,309,"Los Angeles, USA","Humanoids, Inc",8.1 x 1 x 10.7 inches,2015-09-24,8.1,1.0,10.7,inches
211,HC,1 edition,134,English,1,97,"New York City, USA",Pantheon,0.5 x 8.5 x 9.2 inches,1998-12-07,8.5,0.5,9.2,inches
212,SC,Reprint edition,134,English,1,97,"New York City, USA",Pantheon,8.1 x 0.2 x 8.4 inches,2000-12-26,8.1,0.2,8.4,inches
213,SC,Reprint edition,135,English,1,79,"New York, USA",Crown,6.2 x 0.2 x 9.1 inches,2004-07-20,6.2,0.2,9.1,inches
214,SC,,136,English,1,167,"New York, USA",W. W. Norton and Company,7 x 0.6 x 10 inches,2008-11-17,7.0,0.6,10.0,inches
215,HC,,136,English,1,168,"New York City, USA",W. W. Norton and Company,7.8 x 0.8 x 10.2 inches,2002-01-01,7.8,0.8,10.2,inches
216,HC,First Edition ~1st Printing edition,137,English,1,160,"New York, USA",Vertigo,7.2 x 0.5 x 9.2 inches,2004-11-03,7.2,0.5,9.2,inches
217,SC,,137,English,1,160,"New York City, USA",Vertigo,6.9 x 0.4 x 9 inches,2006-01-01,6.9,0.4,9.0,inches
218,SC,,138,English,1,260,"New York, USA",First Second,9 x 0.8 x 11.7 inches,2009-05-12,9.0,0.8,11.7,inches
219,HC,,139,English,1,222,"Montreal, Canada",Drawn and Quarterly,6.7 x 1.1 x 9.2 inches,2013-05-14,6.7,1.1,9.2,inches
220,HC,,140,English,1,526,"New York, USA",Dover Publications,16.9.2015,2015-09-16,7.0,2.0,10.0,inches
225,SC,,144,English,1,176,"Seattle, USA",Jet City Comics,6.5 x 0.8 x 10 inches,2014-01-21,6.5,0.8,10.0,inches
226,HC,2 edition,145,English,2,136,"Milwaukee, USA",Dark Horse,6.9 x 0.6 x 10.4 inches,2010-05-11,6.9,0.6,10.4,inches
228,HC,1st Edition,147,English,1,315,"New York City, USA",Pantheon,7.3 x 1.1 x 10.3 inches,2015-04-21,7.3,1.1,10.3,inches
229,SC,,148,English,1,96,"New York, USA",DC Comics,8.6 x 0.2 x 11.6 inches,1995-09-01,8.6,0.2,11.6,inches
231,SC,Reprint edition,150,English,2,206,"New York, USA",W. W. Norton and Company,7 x 0.7 x 10 inches,2008-11-17,7.0,0.7,10.0,inches
232,HC,First Edition,150,English,2,208,"New York City, USA",W. W. Norton and Company,10.1 x 7.6 x 0.6 inches,1991-01-01,7.59999990463257,0.600000023841858,10.1000003814697,inches
233,SC,,151,English,1,112,"La Jolla, USA",WildStorm,6.6 x 0.2 x 10.2 inches,2006-03-22,6.6,0.2,10.2,inches
234,HC,,151,English,1,112,"La Jolla, USA",WildStorm,7 x 0.6 x 10.5 inches,2005-08-01,7.0,0.6,10.5,inches
235,SC,First Printing edition,152,English,1,96,"London, UK",Fleetway Publications,10.2 x 6.6 x 0.4 inches,1990-02-01,6.59999990463257,0.400000005960464,10.1999998092651,inches
236,HC,First Edition,153,English,1,204,"New York, USA",Schocken Books and Random House,7.6 x 0.8 x 9.4 inches,2012-04-03,7.6,0.8,9.4,inches
238,SC,New edition,155,English,3,296,"New York, USA",DC Comics,6.6 x 0.6 x 10.2 inches,2008-10-24,6.6,0.6,10.2,inches
239,SC,Reprint edition,156,English,5,448,"New York, USA",DC Comics,6.6 x 1 x 10.2 inches,2014-05-13,6.6,1.0,10.2,inches
240,HC,Deluxe edition,156,English,5,448,"New York City, USA",DC Comics,7.4 x 1.3 x 11.2 inches,2013-06-04,7.4,1.3,11.2,inches
243,SC,,163,English,,199,"New York, USA",Vertigo,,2004-08-31,8.19999980926514,0.400000005960464,10.8000001907349,inches
244,SC,,162,English,,142,"Montreal, Canada",Drawn and Quarterly,,2003-09-01,6.69999980926514,0.5,9.0,inches
245,SC,Reprint Edition,164,English,,140,"New York, USA",W. W. Norton and Company,,2006-12-17,7.0,0.5,10.0,inches
246,HC,Limited edition,164,English,,139,"Princeton, USA",Kitchen Sink Press,,1988-05-01,7.19999980926514,0.699999988079071,10.3000001907349,inches
247,HC,,162,,,,"Montreal, Canada",Black Eye Books,,1997-01-01,,,,
248,SC,Reprint Edition,165,English,,184,"New York, USA",W. W. Norton and Company,,2006-03-17,8.30000019073486,0.699999988079071,11.0,inches
249,HC,,165,English,,192,"Princeton, USA",Kitchen Sink Press,,1990-10-01,9.0,0.800000011920929,11.8000001907349,inches
252,SC,,167,English,,183,"Seattle, USA",Fantagraphics,,1997-10-01,10.3000001907349,0.600000023841858,8.0,inches
253,HC,1st Edition,167,English,,183,"New York City, USA",Random House Inc,,1979-11-01,10.6000003814697,1.10000002384186,8.19999980926514,inches
254,SC,,168,English,,113,"Milwaukee, USA",Horse Press,,1998-01-01,9.5,0.5,12.6000003814697,inches
258,SC,Reprint Edition,169,English,,289,"Boston, USA",Mariner Books,,2013-03-02,6.0,0.800000011920929,9.0,inches
259,HC,First Edition,169,English,,304,"Boston, USA",Houghton Mifflin Harcourt,,2012-05-01,6.19999980926514,1.0,9.19999980926514,inches
260,SC,Revised Edition,170,English,,293,"Berkeley, USA",North Atlantic Books,,2015-07-21,6.5,0.800000011920929,9.19999980926514,inches
261,HC,,170,English,,320,"Berkeley, USA",Frog Books,,2003-02-28,6.80000019073486,1.29999995231628,9.5,inches
